unique_id,ds,y,HistoricAverage,Naive,SeasonalNaive,WindowAverage
Adelaide,1998-01-01,658.5538948,,,,
Adelaide,1998-04-01,449.8539345,,,,
Adelaide,1998-07-01,592.9045969,,,,
Adelaide,1998-10-01,524.2427599,,,,
Adelaide,1999-01-01,548.3941052,,,,
Adelaide,1999-04-01,568.6978012,,,,
Adelaide,1999-07-01,538.0525987999999,,,,
Adelaide,1999-10-01,562.4276777,,,,
Adelaide,2000-01-01,646.3567745,,,,
Adelaide,2000-04-01,562.7560791,,,,
Adelaide,2000-07-01,556.3001609,,,,
Adelaide,2000-10-01,652.2033059,,,,
Adelaide,2001-01-01,569.5561519,,,,
Adelaide,2001-04-01,532.1416062999999,,,,
Adelaide,2001-07-01,567.2775318,,,,
Adelaide,2001-10-01,595.221138,,,,
Adelaide,2002-01-01,646.6808205,,,,
Adelaide,2002-04-01,551.7566511,,,,
Adelaide,2002-07-01,572.2064025,,,,
Adelaide,2002-10-01,504.3690436,,,,
Adelaide,2003-01-01,556.3792702,,,,
Adelaide,2003-04-01,524.2565289,,,,
Adelaide,2003-07-01,601.1227827,,,,
Adelaide,2003-10-01,521.7295038,,,,
Adelaide,2004-01-01,633.305173,,,,
Adelaide,2004-04-01,635.4880399,,,,
Adelaide,2004-07-01,598.1142316,,,,
Adelaide,2004-10-01,570.5297387,,,,
Adelaide,2005-01-01,581.2291926,,,,
Adelaide,2005-04-01,418.8579604,,,,
Adelaide,2005-07-01,524.8863045,,,,
Adelaide,2005-10-01,509.21714470000006,,,,
Adelaide,2006-01-01,587.837469,,,,
Adelaide,2006-04-01,589.2891380000001,,,,
Adelaide,2006-07-01,513.835664,,,,
Adelaide,2006-10-01,533.56228,,,,
Adelaide,2007-01-01,607.4528443,,,,
Adelaide,2007-04-01,620.0026834,,,,
Adelaide,2007-07-01,524.612885,,,,
Adelaide,2007-10-01,565.0828937,,,,
Adelaide,2008-01-01,596.4388915,,,,
Adelaide,2008-04-01,523.9460768,,,,
Adelaide,2008-07-01,507.1800715,,,,
Adelaide,2008-10-01,575.6698610999999,,,,
Adelaide,2009-01-01,507.8076171,,,,
Adelaide,2009-04-01,522.6746408,,,,
Adelaide,2009-07-01,542.7338261,,,,
Adelaide,2009-10-01,600.0777385,,,,
Adelaide,2010-01-01,479.8736296,,,,
Adelaide,2010-04-01,562.7634868,,,,
Adelaide,2010-07-01,418.2474798,,,,
Adelaide,2010-10-01,544.6955232,,,,
Adelaide,2011-01-01,563.547186,,,,
Adelaide,2011-04-01,565.2377408,,,,
Adelaide,2011-07-01,457.3976733,,,,
Adelaide,2011-10-01,578.9089982,,,,
Adelaide,2012-01-01,532.2184413,,,,
Adelaide,2012-04-01,533.6567912,,,,
Adelaide,2012-07-01,539.9708638,,,,
Adelaide,2012-10-01,610.7949433,,,,
Adelaide,2013-01-01,503.18611410000005,,,,
Adelaide,2013-04-01,494.4902141,,,,
Adelaide,2013-07-01,587.5583876999999,,,,
Adelaide,2013-10-01,542.7482404,,,,
Adelaide,2014-01-01,628.4640436,,,,
Adelaide,2014-04-01,653.057222,,,,
Adelaide,2014-07-01,529.9463249,,,,
Adelaide,2014-10-01,659.7676908999999,,,,
Adelaide,2015-01-01,650.2481394,,,,
Adelaide,2015-04-01,601.5861802,,,,
Adelaide,2015-07-01,582.3635651,,,,
Adelaide,2015-10-01,679.8454664,,,,
Adelaide,2016-01-01,695.2454533,,,,
Adelaide,2016-04-01,664.605274,,,,
Adelaide,2016-07-01,635.5691056000001,,,,
Adelaide,2016-10-01,634.37132,,,,
Adelaide,2017-01-01,708.331889,567.4163024460526,634.37132,695.2454533,657.4477882250001
Adelaide,2017-04-01,676.4530638,567.4163024460526,634.37132,664.605274,657.4477882250001
Adelaide,2017-07-01,674.1420591,567.4163024460526,634.37132,635.5691056000001,657.4477882250001
Adelaide,2017-10-01,723.7110633,567.4163024460526,634.37132,634.37132,657.4477882250001
Brisbane,1998-01-01,1052.1944954,,,,
Brisbane,1998-04-01,950.4148157,,,,
Brisbane,1998-07-01,1002.7651913,,,,
Brisbane,1998-10-01,992.1182296,,,,
Brisbane,1999-01-01,1049.7471883,,,,
Brisbane,1999-04-01,1276.3479154,,,,
Brisbane,1999-07-01,1162.6170711,,,,
Brisbane,1999-10-01,929.7693142,,,,
Brisbane,2000-01-01,1147.9043929,,,,
Brisbane,2000-04-01,1033.5622832,,,,
Brisbane,2000-07-01,1156.2888042,,,,
Brisbane,2000-10-01,1107.0383064,,,,
Brisbane,2001-01-01,1031.8495408,,,,
Brisbane,2001-04-01,1151.9210049,,,,
Brisbane,2001-07-01,1273.7045669,,,,
Brisbane,2001-10-01,1063.3103249,,,,
Brisbane,2002-01-01,1011.4913815,,,,
Brisbane,2002-04-01,1104.6236617,,,,
Brisbane,2002-07-01,1161.7419294,,,,
Brisbane,2002-10-01,1095.2471269,,,,
Brisbane,2003-01-01,1083.4460819,,,,
Brisbane,2003-04-01,1260.5309107,,,,
Brisbane,2003-07-01,1169.3897523,,,,
Brisbane,2003-10-01,1144.8473651,,,,
Brisbane,2004-01-01,1227.3030213,,,,
Brisbane,2004-04-01,1208.0484362000002,,,,
Brisbane,2004-07-01,1165.2510756,,,,
Brisbane,2004-10-01,1259.3634789,,,,
Brisbane,2005-01-01,1143.724536,,,,
Brisbane,2005-04-01,1117.1680568000002,,,,
Brisbane,2005-07-01,1169.19773,,,,
Brisbane,2005-10-01,1139.5308442,,,,
Brisbane,2006-01-01,1145.657248,,,,
Brisbane,2006-04-01,1174.88738,,,,
Brisbane,2006-07-01,1149.313691,,,,
Brisbane,2006-10-01,1145.220093,,,,
Brisbane,2007-01-01,1133.5349288,,,,
Brisbane,2007-04-01,1285.0045033,,,,
Brisbane,2007-07-01,1362.0144048,,,,
Brisbane,2007-10-01,1156.0658196,,,,
Brisbane,2008-01-01,1237.1755761,,,,
Brisbane,2008-04-01,995.52897,,,,
Brisbane,2008-07-01,1202.3668253,,,,
Brisbane,2008-10-01,1406.8196558,,,,
Brisbane,2009-01-01,1115.1209135,,,,
Brisbane,2009-04-01,1001.9864577,,,,
Brisbane,2009-07-01,1227.8990298,,,,
Brisbane,2009-10-01,879.1020071,,,,
Brisbane,2010-01-01,1096.0670845,,,,
Brisbane,2010-04-01,1133.5365261,,,,
Brisbane,2010-07-01,1303.6311291,,,,
Brisbane,2010-10-01,1450.2955135,,,,
Brisbane,2011-01-01,1091.8675983,,,,
Brisbane,2011-04-01,1349.9519435,,,,
Brisbane,2011-07-01,1443.0217613999998,,,,
Brisbane,2011-10-01,1165.402789,,,,
Brisbane,2012-01-01,1276.0252253,,,,
Brisbane,2012-04-01,1150.0341461,,,,
Brisbane,2012-07-01,1294.2609094,,,,
Brisbane,2012-10-01,1268.1844523,,,,
Brisbane,2013-01-01,1400.0783068,,,,
Brisbane,2013-04-01,1156.6685943,,,,
Brisbane,2013-07-01,1233.6805138,,,,
Brisbane,2013-10-01,1392.6748137,,,,
Brisbane,2014-01-01,1321.6365672,,,,
Brisbane,2014-04-01,1368.2009601,,,,
Brisbane,2014-07-01,1419.1604873,,,,
Brisbane,2014-10-01,1443.0951784,,,,
Brisbane,2015-01-01,1383.8208382,,,,
Brisbane,2015-04-01,1427.3070724,,,,
Brisbane,2015-07-01,1419.1574848,,,,
Brisbane,2015-10-01,1553.9289293,,,,
Brisbane,2016-01-01,1327.2369982,,,,
Brisbane,2016-04-01,1434.340824,,,,
Brisbane,2016-07-01,1496.6197777,,,,
Brisbane,2016-10-01,1745.8612272,,,,
Brisbane,2017-01-01,1550.1429534,1210.6039998605263,1745.8612272,1327.2369982,1501.014706775
Brisbane,2017-04-01,1601.9157246999998,1210.6039998605263,1745.8612272,1434.340824,1501.014706775
Brisbane,2017-07-01,1786.0339489,1210.6039998605263,1745.8612272,1496.6197777,1501.014706775
Brisbane,2017-10-01,1540.9654839,1210.6039998605263,1745.8612272,1745.8612272,1501.014706775
Melbourne,1998-01-01,1578.5484092000002,,,,
Melbourne,1998-04-01,1506.0713513,,,,
Melbourne,1998-07-01,1522.2149545,,,,
Melbourne,1998-10-01,1511.1824341,,,,
Melbourne,1999-01-01,1449.1223592,,,,
Melbourne,1999-04-01,1441.9732019,,,,
Melbourne,1999-07-01,1267.4295268,,,,
Melbourne,1999-10-01,1375.8628686000002,,,,
Melbourne,2000-01-01,1612.5143091999998,,,,
Melbourne,2000-04-01,1501.9973776,,,,
Melbourne,2000-07-01,1454.1543578,,,,
Melbourne,2000-10-01,1638.5953484,,,,
Melbourne,2001-01-01,1601.8201856,,,,
Melbourne,2001-04-01,1614.9481071,,,,
Melbourne,2001-07-01,1567.3468803,,,,
Melbourne,2001-10-01,1610.5715097,,,,
Melbourne,2002-01-01,1520.0716392,,,,
Melbourne,2002-04-01,1436.0414089,,,,
Melbourne,2002-07-01,1554.0748758,,,,
Melbourne,2002-10-01,1573.4855729,,,,
Melbourne,2003-01-01,1609.3742868,,,,
Melbourne,2003-04-01,1671.0546301999998,,,,
Melbourne,2003-07-01,1422.4575848,,,,
Melbourne,2003-10-01,1482.7250580999998,,,,
Melbourne,2004-01-01,1471.5167533,,,,
Melbourne,2004-04-01,1698.3857615000002,,,,
Melbourne,2004-07-01,1543.2291861,,,,
Melbourne,2004-10-01,1409.5756038,,,,
Melbourne,2005-01-01,1569.3473647,,,,
Melbourne,2005-04-01,1440.5780594,,,,
Melbourne,2005-07-01,1463.0931423,,,,
Melbourne,2005-10-01,1616.3001341,,,,
Melbourne,2006-01-01,1722.6871930000002,,,,
Melbourne,2006-04-01,1728.666472,,,,
Melbourne,2006-07-01,1476.5186119999998,,,,
Melbourne,2006-10-01,1641.988076,,,,
Melbourne,2007-01-01,1461.6024794999998,,,,
Melbourne,2007-04-01,1628.2661611,,,,
Melbourne,2007-07-01,1766.9769219999998,,,,
Melbourne,2007-10-01,1681.6064205,,,,
Melbourne,2008-01-01,1693.8094748,,,,
Melbourne,2008-04-01,1563.5959181,,,,
Melbourne,2008-07-01,1734.6378127,,,,
Melbourne,2008-10-01,1656.2088467,,,,
Melbourne,2009-01-01,1489.3106793,,,,
Melbourne,2009-04-01,1619.8443494,,,,
Melbourne,2009-07-01,1707.8405389999998,,,,
Melbourne,2009-10-01,1611.0441794,,,,
Melbourne,2010-01-01,1528.4473296,,,,
Melbourne,2010-04-01,1650.886496,,,,
Melbourne,2010-07-01,1647.4625617,,,,
Melbourne,2010-10-01,1645.3721988,,,,
Melbourne,2011-01-01,1722.1449484,,,,
Melbourne,2011-04-01,1714.1382383,,,,
Melbourne,2011-07-01,1781.6070882,,,,
Melbourne,2011-10-01,1631.8798093,,,,
Melbourne,2012-01-01,1685.9115409,,,,
Melbourne,2012-04-01,1757.1965143000002,,,,
Melbourne,2012-07-01,1762.611368,,,,
Melbourne,2012-10-01,1848.405597,,,,
Melbourne,2013-01-01,1634.7094946,,,,
Melbourne,2013-04-01,1816.2072769,,,,
Melbourne,2013-07-01,1839.9312647,,,,
Melbourne,2013-10-01,1790.8685697,,,,
Melbourne,2014-01-01,1865.4647011,,,,
Melbourne,2014-04-01,2060.1610803,,,,
Melbourne,2014-07-01,1861.3894715,,,,
Melbourne,2014-10-01,2039.9576404,,,,
Melbourne,2015-01-01,2090.000733,,,,
Melbourne,2015-04-01,1980.8073001,,,,
Melbourne,2015-07-01,1927.9631784,,,,
Melbourne,2015-10-01,2109.4289614,,,,
Melbourne,2016-01-01,2061.2258954,,,,
Melbourne,2016-04-01,2125.6995155,,,,
Melbourne,2016-07-01,2205.6080024000003,,,,
Melbourne,2016-10-01,2250.0041544,,,,
Melbourne,2017-01-01,2161.4890647,1670.4705172236843,2250.0041544,2061.2258954,2160.634391925
Melbourne,2017-04-01,2100.8637101,1670.4705172236843,2250.0041544,2125.6995155,2160.634391925
Melbourne,2017-07-01,2319.3587159,1670.4705172236843,2250.0041544,2205.6080024000003,2160.634391925
Melbourne,2017-10-01,2632.9528531,1670.4705172236843,2250.0041544,2250.0041544,2160.634391925
